Код объекта,трассы,автомобильные мосты,Материал окон,Счетчик воды,гостевой паркинг,памятники архитектуры,культуры,пешеходные бульвары,Балкон,всего этажей,Серия,Стены,Адрес,Год постройки,Общая площадь,Высота потолков,Двор,Комнатность,подземный паркинг,Ремонт,цена
5757236,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Древлянка,2017.0,30.6,2.5,открытый двор,1,0,Улучшенная черновая отделка,2390.0
5535905,0,0,Пластиковые,отсутствует,1,0,0,0,Нет балкона,5,Общ,Кирпичные,Голиковка,1979.0,18.0,2.55,открытый двор,1,0,Косметический ремонт,920.0
4644398,0,0,Пластиковые,есть,1,0,0,0,Есть балкон,5,Инд,Панельные,Древлянка,2021.0,57.83,2.7,закрытый двор,3,0,Улучшенная черновая отделка,3250.0
5667276,0,0,Пластиковые,есть,0,0,0,0,Лоджия,16,Инд,Монолитные,Ключевая,2016.0,41.2,2.7,открытый двор,2,0,Косметический ремонт,3590.0
4644417,0,0,Пластиковые,есть,1,0,0,0,Есть балкон,5,Инд,Панельные,Древлянка,2021.0,84.0,2.7,закрытый двор,4,0,Улучшенная черновая отделка,4500.0
3854655,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Древлянка,2020.0,48.52,2.75,открытый двор,1,0,Улучшенная черновая отделка,2550.0
5757173,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Октябрьский,1966.0,56.0,2.5,открытый двор,3,0,Косметический ремонт,3000.0
5103276,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Общ,Кирпичные,Перевалка,1983.0,18.0,2.5,открытый двор,1,0,Современный ремонт,800.0
5758058,0,0,Пластиковые,есть,1,0,0,0,Есть балкон,10,75 ,Панельные,Древлянка,1989.0,69.1,2.5,открытый двор,3,0,Современный ремонт,4700.0
4525390,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,5,Инд,Блочные,Голиковка,1967.0,56.0,2.5,открытый двор,3,0,Частичный ремонт,2970.0
4469870,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Сулажгора,2010.0,63.0,2.5,открытый двор,2,0,Косметический ремонт,4000.0
5760725,0,0,Деревянные,есть,0,0,0,0,Есть балкон,10,75 ,Панельные,Древлянка,1992.0,34.4,2.5,открытый двор,1,0,Частичный ремонт,2450.0
5553000,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Общ,Кирпичные,Ключевая,1980.0,18.0,2.5,открытый двор,1,0,Косметический ремонт,570.0
4265258,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,75 ,Панельные,Древлянка,1987.0,65.2,2.5,открытый двор,3,0,Современный ремонт,4200.0
2987059,0,0,Пластиковые,отсутствует,0,0,0,0,Нет балкона,5,Общ,Кирпичные,Голиковка,1960.0,30.5,2.5,открытый двор,2,0,Косметический ремонт,1190.0
5759101,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Кирпичные,Первомайский,1983.0,34.0,2.5,открытый двор,1,0,Косметический ремонт,2700.0
3598170,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,1,Инд,Деревянные,Первомайский,1992.0,36.0,2.5,открытый двор,2,0,Косметический ремонт,1999.0
5109065,0,0,Пластиковые,есть,0,0,0,0,Лоджия,5,Инд,Панельные,Ключевая,1991.0,49.6,2.5,открытый двор,2,0,Современный ремонт,3200.0
5758617,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,12,Инд,Монолитные,Центр,2015.0,70.4,3.0,закрытый двор,3,1,Улучшенная черновая отделка,5500.0
5593171,0,0,Пластиковые,отсутствует,0,0,0,0,Нет балкона,4,Общ,Кирпичные,Центр,1966.0,12.0,2.5,открытый двор,1,0,Косметический ремонт,649.0
5751111,0,0,Пластиковые,есть,0,1,1,1,Нет балкона,5,Инд,Блочные,Голиковка,1969.0,58.1,2.5,открытый двор,3,0,Современный ремонт,4000.0
5760211,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,3,Инд,Блочные,Древлянка,2017.0,29.0,2.5,открытый двор,1,0,Косметический ремонт,2350.0
3602019,0,0,Деревянные,есть,0,0,0,0,Есть балкон,5,Общ,Кирпичные,Голиковка,1982.0,17.8,2.5,открытый двор,1,0,Косметический ремонт,590.0
4522037,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,5,Общ,Кирпичные,Зарека,1972.0,16.9,2.5,открытый двор,1,0,Косметический ремонт,700.0
3684339,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Общ,Панельные,Первомайский,1971.0,22.0,2.5,открытый двор,1,0,Косметический ремонт,990.0
5757114,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Блочные,Ключевая,1967.0,46.6,2.5,открытый двор,2,0,Косметический ремонт,2650.0
5752081,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Панельные,Кукковка,1983.0,53.0,2.5,открытый двор,2,0,Современный ремонт,3400.0
5739316,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,4,Инд,Панельные,Октябрьский,1992.0,30.9,2.5,открытый двор,1,0,Косметический ремонт,2270.0
5738616,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,1-335А,Панельные,Октябрьский,1965.0,42.0,2.5,открытый двор,2,0,Современный ремонт,3070.0
5754913,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,1-335,Панельные,Октябрьский,1966.0,31.4,2.5,открытый двор,1,0,Косметический ремонт,2400.0
5754100,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Октябрьский,1992.0,30.2,2.5,открытый двор,1,0,Косметический ремонт,2400.0
5746866,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,75 ,Панельные,Октябрьский,1975.0,35.2,2.5,открытый двор,1,0,Требует ремонта,2500.0
5751405,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,75 ,Панельные,Древлянка,1991.0,70.0,2.5,открытый двор,3,0,Современный ремонт,4750.0
5754691,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,4,Инд,Блочные,Центр,1947.0,67.0,2.5,открытый двор,3,0,Косметический ремонт,6100.0
5738920,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,4,Инд,Панельные,Перевалка,2016.0,31.4,2.5,открытый двор,1,0,Косметический ремонт,1860.0
5753907,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,2,Инд,Деревянные,Октябрьский,1992.0,28.5,2.5,открытый двор,1,0,Косметический ремонт,1900.0
5738749,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Панельные,Древлянка,1992.0,54.0,2.5,открытый двор,2,0,Современный ремонт,3700.0
