,Код объекта,Комнатность,Общая площадь,Высота потолков,Ремонт,Санузел,Балкон,Материал окон,Солнечная сторона,Вид из окон,Счетчик воды,Железная дверь,Подключённые сервисы,Домофон,Этаж/Этажность,Серия,Год постройки,Стены,Номер дома,Колясочная,Двор,Парковка,Адрес,zipcode,url,Цена,Коммунальные платежи,Кухонный гарнитур,Кухня-гостиная,Нежилые помещения на первом этаже,Пандус,Площадка для выгула собак,Площадь кухни,Остекление балкона,Площадь балкона,Счетчик тепла,Гардеробная,Лифт,Консьерж,Велосипедная,Детская площадка,система водонагрева,Кладовка,Корпус,Мягкая мебель,Шкаф-купе,воздушные фильтры,Проходные комнаты,Квартира угловая / торцевая,строение,фильтры для воды,Постирочная,Видеодомофон,охранная сигнализация,кондиционер,Многоуровневая
0,5757236,1,30.6 м²,2.5 м,Улучшенная черновая отделка,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,1 из 5,Инд,2017,Панельные,5а,есть,открытый двор,наземный паркинг,"Древлянка, ул. Скандинавский пр., д. 5а",,https://ptz.etagi.com//realty/5757236/,2 390 000 руб.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5535905,1,18 м²,2.55 м,Косметический ремонт,Раздельный,Нет балкона,Пластиковые,часть окон,во двор,,есть,телефон,Есть,4 из 5,Общ,,Кирпичные,19,,открытый двор,гостевой паркинг,"Голиковка, ул. Варламова, д. 19",185003,https://ptz.etagi.com//realty/5535905/,920 000 руб.,3500 ₽,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4644398,3,57.83 м²,2.7 м,Улучшенная черновая отделка,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,3 из 5,Инд,2021,Панельные,,есть,"закрытый двор, видеонаблюдение","наземный паркинг, гостевой паркинг","Древлянка, ул. Вьюжный пр.",,https://ptz.etagi.com//realty/4644398/,3 250 000 руб.,,,да,есть,обычный,есть,,,,,,,,,,,,,,,,,,,,,,,,
3,5667276,2,41.2 м²,2.7 м,Косметический ремонт,Совмещенный,Лоджия,Пластиковые,все окна,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,8 из 16,Инд,2016,Монолитные,19,есть,открытый двор,наземный паркинг,"Ключевая, ул. Кемская, д. 19",185034,https://ptz.etagi.com//realty/5667276/,3 590 000 руб.,900-2500 ₽,+,да,,обычный,,13.7 м²,есть,7 м²,есть,+,пассажирский и грузовой,есть,есть,"песочница, качели, горка",,,,,,,,,,,,,,,
4,4644417,4,84 м²,2.7 м,Улучшенная черновая отделка,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,3 из 5,Инд,2021,Панельные,,есть,"закрытый двор, видеонаблюдение","наземный паркинг, гостевой паркинг","Древлянка, ул. Вьюжный пр.",,https://ptz.etagi.com//realty/4644417/,4 500 000 руб.,,,да,есть,обычный,есть,,,,,,,,,,,,,,,,,,,,,,,,
5,3854655,1,48.52 м²,2.75 м,Улучшенная черновая отделка,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,1 из 5,Инд,2020,Панельные,,,открытый двор,наземный паркинг,"Древлянка, ул. Финский пр.",,https://ptz.etagi.com//realty/3854655/,2 550 000 руб.,,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5757173,3,56 м²,2.5 м,Косметический ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,4 из 5,Инд,1966,Панельные,16а,,открытый двор,наземный паркинг,"Октябрьский, ул. Октябрьский пр-т, д. 16а",,https://ptz.etagi.com//realty/5757173/,3 000 000 руб.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5103276,1,18 м²,2.5 м,Современный ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,5 из 5,Общ,1983,Кирпичные,6,,открытый двор,наземный паркинг,"Перевалка, ул. Зелёная, д. 6",185007,https://ptz.etagi.com//realty/5103276/,800 000 руб.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4007793,2,44.8 м²,2.7 м,Косметический ремонт,Раздельный,Нет балкона,Пластиковые,все окна,"во двор, на детскую площадку",есть,есть,"телефон, интернет, кабельное телевидение",Есть,4 из 4,Инд,,Блочные,11б,,открытый двор,наземный паркинг,"Олонец, ул. Карла Маркса, д. 11б",,https://ptz.etagi.com//realty/4007793/,1 800 000 руб.,,,,,,,8.5 м²,,,,+,,,есть,,+,,,,,,,,,,,,,,
9,5758058,3,69.1 м²,2.5 м,Современный ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,9 из 10,75 ,,Панельные,10,,открытый двор,"наземный паркинг, гостевой паркинг","Древлянка, ул. Интернационалистов бульвар, д. 10",,https://ptz.etagi.com//realty/5758058/,4 700 000 руб.,,,,,,,,,,,,пассажирский,,,,,,,,,,,,,,,,,,
10,4525390,3,56 м²,2.5 м,Частичный ремонт,Раздельный,Нет балкона,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,4 из 5,Инд,1967,Блочные,49,,открытый двор,наземный паркинг,"Голиковка, ул. Александра Невского пр-т, д. 49",,https://ptz.etagi.com//realty/4525390/,2 970 000 руб.,,,,,,есть,6.1 м²,,,,,,,,,,,,,,,,,,,,,,,
11,5109141,16,17.3 м²,2.5 м,Косметический ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,2 из 5,Общ,1982,Кирпичные,4а,,открытый двор,наземный паркинг,"Голиковка, ул. Волховская, д. 4а",,https://ptz.etagi.com//realty/5109141/,750 000 руб.,3000-3300 ₽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4469870,2,63 м²,2.5 м,Косметический ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,5 из 5,Инд,2010,Кирпичные,54,,открытый двор,наземный паркинг,"Сулажгора, ул. Пограничная, д. 54",185013,https://ptz.etagi.com//realty/4469870/,4 000 000 руб.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5760725,1,34.4 м²,2.5 м,Частичный ремонт,Совмещенный,Есть балкон,Деревянные,часть окон,во двор,есть,,"интернет, кабельное телевидение",Есть,7 из 10,75 ,1992,Панельные,33 к1,,открытый двор,парковка отсутствует,"Древлянка, ул. Лососинское шоссе, д. 33 к1",,https://ptz.etagi.com//realty/5760725/,2 450 000 руб.,,+,,,,,,есть,,,,пассажирский,,,,,в квартире,1,,,,,,,,,,,,
14,5553000,1,18 м²,2.5 м,Косметический ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,6 из 9,Общ,1980,Кирпичные,28,,открытый двор,наземный паркинг,"Ключевая, ул. Судостроительная, д. 28",185034,https://ptz.etagi.com//realty/5553000/,570 000 руб.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4265258,3,65.2 м²,2.5 м,Современный ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,6 из 9,75 ,1987,Панельные,22 к1,,открытый двор,наземный паркинг,"Древлянка, ул. Древлянка, д. 22 к1",185014,https://ptz.etagi.com//realty/4265258/,4 200 000 руб.,5000-7000 ₽,,,,,есть,,есть,3 м²,,,пассажирский,,,"песочница, качели, горка",,,1,,,,,,,,,,,,
16,2987059,2,30.5 м²,2.5 м,Косметический ремонт,Раздельный,Нет балкона,Пластиковые,все окна,"стены соседних домов, во двор",,есть,"интернет, кабельное телевидение",,1 из 5,Общ,1960,Кирпичные,3,,открытый двор,наземный паркинг,"Голиковка, ул. Лососинская набережная, д. 3",,https://ptz.etagi.com//realty/2987059/,1 190 000 руб.,3000 ₽,+,,,,,,,,,,,,,,,,,+,,,,,,,,,,,
17,5759101,1,34 м²,2.5 м,Косметический ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,9 из 9,Инд,1983,Кирпичные,60,,открытый двор,наземный паркинг,"Первомайский, ул. Шотмана, д. 60",185001,https://ptz.etagi.com//realty/5759101/,2 700 000 руб.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3598170,2,36 м²,2.5 м,Косметический ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,1 из 1,Инд,,Деревянные,45,,открытый двор,наземный паркинг,"Первомайский, ул. Мурманская, д. 45",,https://ptz.etagi.com//realty/3598170/,1 999 000 руб.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,5109065,2,49.6 м²,2.5 м,Современный ремонт,Раздельный,Лоджия,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,3 из 5,Инд,1991,Панельные,21,,открытый двор,наземный паркинг,"Ключевая, ул. Гвардейская, д. 21",185034,https://ptz.etagi.com//realty/5109065/,3 200 000 руб.,3000-4500 ₽,,,,,есть,7.4 м²,есть,6 м²,,,,,,"песочница, качели, горка",,,,,,,,,,,,,,,
20,5758617,3,70.4 м²,3 м,Улучшенная черновая отделка,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,10 из 12,Инд,2015,Монолитные,13,,"закрытый двор, охрана, видеонаблюдение","наземный паркинг, подземный паркинг","Центр, ул. Лососинская, д. 13",185035,https://ptz.etagi.com//realty/5758617/,5 500 000 руб.,,,да,есть,обычный,есть,,,,,,пассажирский и грузовой,есть,,,,,,,,,,,,,,,,,
21,4895608,5,11.3 м²,2.5 м,Косметический ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,5 из 5,Инд,1962,Блочные,1,,открытый двор,наземный паркинг,"Центр, ул. Свердлова, д. 1",185035,https://ptz.etagi.com//realty/4895608/,540 000 руб.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,5593171,1,12 м²,2.5 м,Косметический ремонт,Раздельный,Нет балкона,Пластиковые,часть окон,во двор,,есть,"телефон, интернет, кабельное телевидение",Есть,2 из 4,Общ,1966,Кирпичные,28,,открытый двор,парковка отсутствует,"Центр, ул. Максима Горького, д. 28",185035,https://ptz.etagi.com//realty/5593171/,649 000 руб.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,5751111,3,58.1 м²,2.5 м,Современный ремонт,Раздельный,Нет балкона,Пластиковые,часть окон,"памятники архитектуры, культуры, пешеходные бульвары",есть,есть,"телефон, интернет, кабельное телевидение",Есть,4 из 5,Инд,1969,Блочные,25,есть,открытый двор,парковка отсутствует,"Голиковка, ул. Володарского, д. 25",185003,https://ptz.etagi.com//realty/5751111/,4 000 000 руб.,,,,,,,6.2 м²,,,,,,,,,,,,,,,,,,,,,,,
24,5760211,1,29 м²,2.5 м,Косметический ремонт,Совмещенный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,3 из 3,Инд,2017,Блочные,34,,открытый двор,наземный паркинг,"Древлянка, ул. Фонтанный пр., д. 34",,https://ptz.etagi.com//realty/5760211/,2 350 000 руб.,,,,,,,,есть,"2,6 м²",,,,,,,,,,,,,,,,,,,,,
25,3602019,1,17.8 м²,2.5 м,Косметический ремонт,Раздельный,Есть балкон,Деревянные,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,5 из 5,Общ,1982,Кирпичные,4а,,открытый двор,наземный паркинг,"Голиковка, ул. Волховская, д. 4а",,https://ptz.etagi.com//realty/3602019/,590 000 руб.,3000-3500 ₽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,4522037,1,16.9 м²,2.5 м,Косметический ремонт,Раздельный,Нет балкона,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,5 из 5,Общ,1972,Кирпичные,5,,открытый двор,наземный паркинг,"Зарека, ул. Чернышевского, д. 5",185005,https://ptz.etagi.com//realty/4522037/,700 000 руб.,,+,,,,,,,,,,,,,,,,,+,+,,,,,,,,,,
