Код объекта,Комнатность,Ремонт,Балкон,Материал окон,Серия,Год постройки,Стены,url,Адрес,наземный паркинг,гостевой паркинг,парковка отсутствует,подземный паркинг,гараж во дворе,парковка,Двор,Железная дверь,Счетчик воды,во двор,на детскую площадку,стены соседних домов,памятники архитектуры,культуры,пешеходные бульвары,дороги,трассы,автомобильные мосты,Высота потолков,Общая площадь,этаж,всего этажей,цена
5757236,1,Улучшенная черновая отделка,Есть балкон,Пластиковые,Инд,2017.0,Панельные,https://ptz.etagi.com//realty/5757236/,Древлянка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,30.6,1,5,2390.0
5535905,1,Косметический ремонт,Нет балкона,Пластиковые,Общ,,Кирпичные,https://ptz.etagi.com//realty/5535905/,Голиковка,0,1,0,0,0,0,открытый двор,есть,отсутствует,1,0,0,0,0,0,0,0,0,2.55,18.0,4,5,920.0
4644398,3,Улучшенная черновая отделка,Есть балкон,Пластиковые,Инд,2021.0,Панельные,https://ptz.etagi.com//realty/4644398/,Древлянка,1,1,0,0,0,0,закрытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.7,57.83,3,5,3250.0
5667276,2,Косметический ремонт,Лоджия,Пластиковые,Инд,2016.0,Монолитные,https://ptz.etagi.com//realty/5667276/,Ключевая,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.7,41.2,8,16,3590.0
4644417,4,Улучшенная черновая отделка,Есть балкон,Пластиковые,Инд,2021.0,Панельные,https://ptz.etagi.com//realty/4644417/,Древлянка,1,1,0,0,0,0,закрытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.7,84.0,3,5,4500.0
3854655,1,Улучшенная черновая отделка,Есть балкон,Пластиковые,Инд,2020.0,Панельные,https://ptz.etagi.com//realty/3854655/,Древлянка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.75,48.52,1,5,2550.0
5757173,3,Косметический ремонт,Есть балкон,Пластиковые,Инд,1966.0,Панельные,https://ptz.etagi.com//realty/5757173/,Октябрьский,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,56.0,4,5,3000.0
5103276,1,Современный ремонт,Есть балкон,Пластиковые,Общ,1983.0,Кирпичные,https://ptz.etagi.com//realty/5103276/,Перевалка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,18.0,5,5,800.0
4007793,2,Косметический ремонт,Нет балкона,Пластиковые,Инд,,Блочные,https://ptz.etagi.com//realty/4007793/,Олонец,1,0,0,0,0,0,открытый двор,есть,есть,1,1,0,0,0,0,0,0,0,2.7,44.8,4,4,1800.0
5758058,3,Современный ремонт,Есть балкон,Пластиковые,75 ,,Панельные,https://ptz.etagi.com//realty/5758058/,Древлянка,1,1,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,69.1,9,10,4700.0
4525390,3,Частичный ремонт,Нет балкона,Пластиковые,Инд,1967.0,Блочные,https://ptz.etagi.com//realty/4525390/,Голиковка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,56.0,4,5,2970.0
5109141,16,Косметический ремонт,Есть балкон,Пластиковые,Общ,1982.0,Кирпичные,https://ptz.etagi.com//realty/5109141/,Голиковка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,17.3,2,5,750.0
4469870,2,Косметический ремонт,Есть балкон,Пластиковые,Инд,2010.0,Кирпичные,https://ptz.etagi.com//realty/4469870/,Сулажгора,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,63.0,5,5,4000.0
5760725,1,Частичный ремонт,Есть балкон,Деревянные,75 ,1992.0,Панельные,https://ptz.etagi.com//realty/5760725/,Древлянка,0,0,1,0,0,0,открытый двор,отсутствует,есть,1,0,0,0,0,0,0,0,0,2.5,34.4,7,10,2450.0
5553000,1,Косметический ремонт,Есть балкон,Пластиковые,Общ,1980.0,Кирпичные,https://ptz.etagi.com//realty/5553000/,Ключевая,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,18.0,6,9,570.0
4265258,3,Современный ремонт,Есть балкон,Пластиковые,75 ,1987.0,Панельные,https://ptz.etagi.com//realty/4265258/,Древлянка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,65.2,6,9,4200.0
2987059,2,Косметический ремонт,Нет балкона,Пластиковые,Общ,1960.0,Кирпичные,https://ptz.etagi.com//realty/2987059/,Голиковка,1,0,0,0,0,0,открытый двор,есть,отсутствует,1,0,1,0,0,0,0,0,0,2.5,30.5,1,5,1190.0
5759101,1,Косметический ремонт,Есть балкон,Пластиковые,Инд,1983.0,Кирпичные,https://ptz.etagi.com//realty/5759101/,Первомайский,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,34.0,9,9,2700.0
3598170,2,Косметический ремонт,Есть балкон,Пластиковые,Инд,,Деревянные,https://ptz.etagi.com//realty/3598170/,Первомайский,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,36.0,1,1,1999.0
5109065,2,Современный ремонт,Лоджия,Пластиковые,Инд,1991.0,Панельные,https://ptz.etagi.com//realty/5109065/,Ключевая,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,49.6,3,5,3200.0
